"Name","Runs","Wickets"
"M Vijay",352,0
"F du Plessis",345,0
"SK Raina",296,0
"MS Dhoni",223,0
"DJ Bravo",142,0
"RA Jadeja",197,0
"SR Watson",197,23
"Harbhajan Singh",115,12
"SN Thakur",44,13
"DL Chahar",17,18
"Imran Tahir",11,25
"G Gambhir",326,0
"JJ Roy",145,0
"SS Iyer",231,0
"GJ Maxwell",318,0
"RR Pant",261,0
"NV Ojha",245,0
"CH Morris",226,25
"Gurkeerat Singh",119,12
"A Mishra",56,14
"Mohammed Shami",39,10
"K Rabada",6,15
"CA Lynn",389,0
"RV Uthappa",266,0
"Shubman Gill",263,0
"KD Karthik",303,0
"Nitish Rana",163,0
"AD Russell",136,0
"SP Narine",148,24
"PP Chawla",191,12
"MA Starc",136,12
"Kuldeep Yadav",71,16
"Kamlesh Nagarkoti",40,22
"CH Gayle",349,0
"AJ Finch",309,0
"KL Rahul",370,0
"MA Agarwal",243,0
"DA Miller",164,0
"KK Nair",148,0
"Yuvraj Singh",104,16
"AR Patel",142,11
"R Ashwin",72,15
"MM Sharma",32,24
"Mujeeb Zadran",14,24
"RG Sharma",330,0
"Evin Lewis",256,0
"Ishan Kishan",265,0
"JP Duminy",319,0
"AS Yadav",332,0
"KA Pollard",213,0
"HH Pandya",179,15
"JJ Bumrah",58,12
"KH Pandya",20,13
"PJ Cummins",30,16
"Mohsin Khan",1,21
"BB McCullum",340,0
"Q de Kock",275,0
"V Kohli",391,0
"AB de Villiers",167,0
"PA Patel",278,0
"SN Khan",191,0
"CR Woakes",120,17
"UT Yadav",123,13
"Washington Sundar",49,16
"N Saini",61,13
"YS Chahal",30,15
"AM Rahane",485,0
"RA Tripathi",304,0
"SPD Smith",246,0
"SV Samson",226,0
"Gowtham Krishnappa",151,0
"JC Buttler",244,0
"BA Stokes",176,15
"D’Arcy Short",77,14
"STR Binny",62,17
"JD Unadkat",70,16
"DS Kulkarni",22,18
"DA Warner",340,0
"S Dhawan",337,0
"KS Williamson",251,0
"MK Pandey",241,0
"YK Pathan",272,0
"WP Saha",242,0
"CR Brathwaite",148,22
"Shakib Al Hasan",148,20
"B Kumar",70,22
"S Kaul",34,15
"Sandeep Sharma",0,20
