matchno,hometeam,awayteam,winningteam
1,MI,CSK,CSK
2,KXIP,DD,DD
3,KKR,RCB,KKR
4,SRH,RR,SRH
5,CSK,KKR,CSK
6,RR,DD,RR
7,SRH,MI,SRH
8,RCB,KXIP,RCB
9,MI,DD,DD
10,KKR,SRH,SRH
11,RCB,RR,RCB
12,KXIP,CSK,CSK
13,KKR,DD,KKR
14,MI,RCB,MI
15,RR,KKR,RR
16,KXIP,SRH,KXIP
17,CSK,RR,CSK
18,KKR,KXIP,KKR
19,DD,RCB,RCB
20,SRH,CSK,SRH
21,RR,MI,MI
22,DD,KXIP,DD
23,MI,SRH,MI
24,RCB,CSK,CSK
25,SRH,KXIP,SRH
26,DD,KKR,KKR
27,CSK,MI,MI
28,RR,SRH,RR
29,RCB,KKR,RCB
30,CSK,DD,CSK
31,RCB,MI,RCB
32,DD,RR,DD
33,KKR,CSK,CSK
34,KXIP,MI,MI
35,CSK,RCB,RCB
36,SRH,DD,DD
37,MI,KKR,KKR
38,KXIP,RR,KXIP
39,SRH,RCB,SRH
40,RR,KXIP,KXIP
41,KKR,MI,KKR
42,DD,SRH,SRH
43,RR,CSK,RR
44,KXIP,KKR,KKR
45,RCB,DD,RCB
46,CSK,SRH,SRH
47,MI,RR,MI
48,KXIP,RCB,RCB
49,KKR,RR,RR
50,MI,KXIP,MI
51,RCB,SRH,SRH
52,DD,CSK,DD
53,RR,RCB,RR
54,SRH,KKR,SRH
55,DD,MI,MI
56,CSK,KXIP,KXIP
57,SRH,RCB,RCB
58,MI,KKR,MI
59,SRH,MI,SRH
60,RCB,SRH,RCB
