date,Location,hitemp,lotemp,precip
07-04-2018,Mumbai,35,23,1
08-04-2018,Mohali,34,18,0
08-04-2018,Kolkata,36,27,2
09-04-2018,Hyderabad,37,24,0
10-04-2018,Chennai,34,26,0
11-04-2018,Jaipur,37,25,0
12-04-2018,Hyderabad,37,25,0
13-04-2018,Bengaluru,35,24,0
14-04-2018,Mumbai,35,24,0
14-04-2018,Kolkata,37,27,0
15-04-2018,Bengaluru,36,24,1
15-04-2018,Mohali,32,19,3
16-04-2018,Kolkata,37,27,0
17-04-2018,Mumbai,36,24,0
18-04-2018,Jaipur,36,22,0
19-04-2018,Mohali,36,22,4
20-04-2018,Chennai,37,27,0
21-04-2018,Kolkata,37,27,0
21-04-2018,Delhi,38,26,0
22-04-2018,Hyderabad,39,26,5
22-04-2018,Jaipur,41,26,0
23-04-2018,Delhi,39,24,0
24-04-2018,Mumbai,35,25,0
25-04-2018,Bengaluru,34,22,6
26-04-2018,Hyderabad,40,26,0
27-04-2018,Delhi,37,24,0
28-04-2018,Chennai,38,29,0
29-04-2018,Jaipur,39,24,0
29-04-2018,Bengaluru,34,22,0
30-04-2018,Chennai,38,27,0
01-05-2018,Bengaluru,34,22,0
02-05-2018,Delhi,36,23,3
03-05-2018,Kolkata,38,27,0
04-05-2018,Indore,40,24,0
05-05-2018,Chennai,37,27,0
05-05-2018,Hyderabad,40,26,0
06-05-2018,Mumbai,34,26,1
06-05-2018,Indore,42,25,0
07-05-2018,Hyderabad,41,27,0
08-05-2018,Jaipur,41,26,0
09-05-2018,Kolkata,35,28,0
10-05-2018,Delhi,38,25,0
11-05-2018,Jaipur,41,26,0
12-05-2018,Indore,42,26,0
12-05-2018,Bengaluru,35,22,0
13-05-2018,Chennai,39,28,0
13-05-2018,Mumbai,36,28,0
14-05-2018,Indore,43,26,0
15-05-2018,Kolkata,36,27,0
16-05-2018,Mumbai,37,28,0
17-05-2018,Bengaluru,33,21,10
18-05-2018,Delhi,40,26,0
19-05-2018,Jaipur,42,27,0
19-05-2018,Hyderabad,40,26,0
20-05-2018,Delhi,42,28,0
20-05-2018,Chennai,38,27,2
22-05-2018,Mumbai,37,27,0
23-05-2018,Pune,38,23,0
25-05-2018,Pune,37,24,0
27-05-2018,Mumbai,34,25,7
